iter	Passed	Remaining
0	3	3356
1	5	2875
2	7	2651
3	10	2577
4	14	2976
5	17	2932
6	19	2828
7	22	2745
8	24	2686
9	26	2649
10	30	2712
11	32	2709
12	35	2674
13	37	2635
14	39	2598
15	41	2579
16	44	2587
17	47	2577
18	49	2556
19	51	2534
20	54	2517
21	56	2504
22	58	2497
23	61	2497
24	63	2492
25	66	2479
26	69	2492
27	71	2488
28	74	2493
29	77	2496
30	79	2497
31	82	2495
32	85	2497
33	87	2495
34	90	2508
35	94	2518
36	97	2524
37	99	2521
38	102	2520
39	105	2524
40	108	2527
41	110	2524
42	113	2524
43	116	2524
44	118	2522
45	122	2531
46	125	2542
47	128	2540
48	130	2533
49	133	2528
50	135	2524
51	139	2544
52	142	2550
53	145	2546
54	147	2541
55	150	2536
56	153	2542
57	156	2545
58	159	2541
59	161	2536
60	164	2531
61	167	2528
62	170	2535
63	173	2541
64	176	2541
65	179	2543
66	182	2546
67	186	2560
68	189	2558
69	192	2553
70	194	2549
71	197	2547
72	201	2562
73	204	2559
74	207	2555
75	209	2552
76	212	2547
77	215	2543
78	217	2539
79	220	2534
80	223	2531
81	226	2536
82	229	2537
83	232	2533
84	235	2531
85	237	2527
86	240	2524
87	243	2521
88	246	2518
89	248	2515
90	251	2512
91	254	2509
92	257	2506
93	259	2504
94	262	2501
95	265	2498
96	268	2495
97	270	2492
98	273	2489
99	276	2487
100	279	2484
101	281	2481
102	284	2478
103	287	2476
104	290	2473
105	292	2469
106	295	2467
107	298	2463
108	301	2461
109	303	2457
110	306	2453
111	309	2450
112	311	2448
113	314	2445
114	317	2442
115	320	2440
116	323	2437
117	325	2435
118	328	2432
119	331	2430
120	334	2431
121	337	2428
122	340	2425
123	342	2422
124	345	2419
125	348	2417
126	352	2419
127	355	2418
128	358	2418
129	361	2418
130	364	2416
131	367	2414
132	370	2412
133	373	2412
134	377	2420
135	381	2421
136	384	2423
137	387	2422
138	393	2435
139	397	2442
140	400	2440
141	403	2437
142	408	2447
143	411	2445
144	414	2443
145	417	2439
146	419	2436
147	423	2436
148	426	2435
149	429	2432
150	432	2429
151	434	2426
152	438	2425
153	440	2422
154	443	2419
155	446	2416
156	449	2413
157	452	2410
158	455	2406
159	457	2403
160	460	2400
161	463	2397
162	466	2395
163	469	2392
164	472	2389
165	475	2386
166	477	2383
167	480	2380
168	483	2377
169	486	2375
170	489	2372
171	492	2368
172	494	2366
173	497	2363
174	500	2360
175	503	2357
176	506	2354
177	509	2351
178	512	2349
179	515	2347
180	518	2344
181	521	2341
182	523	2338
183	526	2335
184	529	2334
185	533	2333
186	536	2330
187	539	2329
188	543	2333
189	550	2345
190	554	2347
191	557	2348
192	561	2348
193	565	2351
194	569	2349
195	572	2347
196	575	2344
197	578	2342
198	581	2339
199	584	2336
200	587	2333
201	590	2331
202	593	2328
203	596	2325
204	599	2323
205	601	2320
206	604	2317
207	607	2314
208	610	2312
209	613	2309
210	616	2307
211	619	2304
212	622	2301
213	625	2298
214	628	2296
215	632	2294
216	635	2291
217	638	2289
218	641	2286
219	644	2286
220	647	2283
221	650	2280
222	653	2278
223	656	2275
224	659	2272
225	662	2269
226	665	2266
227	668	2263
228	671	2260
229	674	2257
230	677	2254
231	680	2252
232	683	2249
233	686	2246
234	689	2243
235	692	2241
236	695	2238
237	698	2235
238	701	2232
239	704	2229
240	707	2229
241	711	2227
242	714	2225
243	717	2223
244	721	2221
245	724	2219
246	727	2216
247	729	2213
248	732	2210
249	736	2209
250	739	2207
251	742	2204
252	745	2201
253	748	2198
254	751	2196
255	754	2193
256	757	2190
257	760	2187
258	763	2184
259	766	2181
260	769	2179
261	772	2176
262	775	2173
263	778	2170
264	781	2168
265	784	2165
266	787	2162
267	790	2159
268	793	2156
269	796	2153
270	799	2150
271	802	2148
272	805	2145
273	808	2142
274	811	2140
275	814	2137
276	817	2134
277	820	2131
278	823	2128
279	826	2125
280	829	2123
281	833	2121
282	836	2118
283	839	2116
284	842	2113
285	845	2110
286	848	2107
287	851	2105
288	854	2102
289	857	2100
290	861	2097
291	864	2095
292	867	2092
293	870	2089
294	873	2087
295	876	2084
296	879	2081
297	882	2078
298	886	2077
299	889	2075
300	892	2073
301	896	2071
302	899	2069
303	902	2066
304	905	2064
305	908	2061
306	912	2058
307	915	2056
308	918	2053
309	921	2050
310	924	2047
311	927	2044
312	930	2041
313	933	2039
314	937	2037
315	940	2035
316	943	2033
317	946	2030
318	949	2027
319	952	2025
320	956	2022
321	959	2019
322	962	2017
323	965	2014
324	968	2011
325	972	2009
326	975	2007
327	978	2005
328	981	2002
329	985	2000
330	988	1997
331	991	1995
332	994	1992
333	997	1989
334	1000	1986
335	1004	1984
336	1007	1981
337	1010	1978
338	1013	1976
339	1016	1973
340	1019	1970
341	1023	1968
342	1026	1965
343	1029	1962
344	1032	1959
345	1035	1957
346	1039	1955
347	1043	1954
348	1046	1951
349	1049	1948
350	1052	1946
351	1055	1943
352	1059	1941
353	1062	1939
354	1066	1937
355	1069	1935
356	1073	1932
357	1076	1930
358	1079	1927
359	1083	1927
360	1087	1924
361	1090	1921
362	1093	1918
363	1096	1915
364	1099	1912
365	1102	1910
366	1105	1907
367	1108	1903
368	1111	1901
369	1114	1898
370	1118	1895
371	1121	1892
372	1124	1889
373	1127	1886
374	1130	1883
375	1133	1880
376	1136	1877
377	1139	1874
378	1142	1871
379	1145	1869
380	1148	1866
381	1151	1863
382	1154	1860
383	1157	1857
384	1160	1854
385	1163	1851
386	1166	1848
387	1170	1846
388	1173	1843
389	1176	1840
390	1179	1837
391	1182	1834
392	1185	1831
393	1188	1828
394	1191	1825
395	1194	1822
396	1198	1819
397	1201	1816
398	1203	1813
399	1206	1810
400	1209	1807
401	1212	1803
402	1216	1801
403	1219	1798
404	1222	1795
405	1225	1792
406	1228	1789
407	1231	1786
408	1233	1782
409	1236	1779
410	1240	1777
411	1243	1775
412	1247	1772
413	1250	1769
414	1253	1766
415	1256	1764
416	1259	1761
417	1262	1758
418	1265	1754
419	1268	1751
420	1271	1749
421	1274	1746
422	1277	1743
423	1280	1739
424	1283	1736
425	1286	1733
426	1289	1730
427	1292	1727
428	1295	1724
429	1298	1721
430	1301	1717
431	1304	1714
432	1307	1711
433	1310	1708
434	1313	1705
435	1316	1702
436	1318	1699
437	1321	1696
438	1324	1693
439	1327	1689
440	1330	1686
441	1333	1683
442	1337	1681
443	1340	1678
444	1343	1675
445	1346	1672
446	1349	1669
447	1353	1667
448	1356	1664
449	1359	1661
450	1362	1658
451	1365	1655
452	1368	1652
453	1371	1649
454	1374	1646
455	1377	1643
456	1380	1640
457	1384	1638
458	1387	1635
459	1390	1632
460	1393	1629
461	1396	1626
462	1400	1624
463	1403	1621
464	1406	1618
465	1409	1615
466	1413	1612
467	1417	1611
468	1420	1608
469	1423	1605
470	1426	1602
471	1430	1600
472	1433	1597
473	1437	1594
474	1440	1591
475	1443	1588
476	1447	1586
477	1450	1583
478	1453	1580
479	1456	1577
480	1459	1575
481	1463	1573
482	1466	1570
483	1469	1567
484	1472	1564
485	1476	1561
486	1479	1558
487	1483	1556
488	1486	1552
489	1489	1549
490	1492	1547
491	1496	1544
492	1505	1547
493	1513	1550
494	1520	1551
495	1524	1549
496	1528	1547
497	1531	1544
498	1534	1541
499	1537	1537
500	1541	1535
501	1544	1532
502	1547	1529
503	1550	1526
504	1553	1523
505	1557	1520
506	1560	1517
507	1564	1514
508	1567	1511
509	1570	1508
510	1573	1506
511	1577	1503
512	1580	1500
513	1583	1496
514	1586	1494
515	1589	1491
516	1593	1489
517	1597	1486
518	1600	1482
519	1603	1480
520	1607	1477
521	1610	1475
522	1614	1472
523	1618	1470
524	1621	1467
525	1625	1464
526	1628	1461
527	1631	1458
528	1635	1456
529	1639	1453
530	1642	1450
531	1645	1447
532	1649	1444
533	1652	1442
534	1655	1439
535	1659	1436
536	1662	1433
537	1666	1430
538	1669	1427
539	1672	1424
540	1675	1421
541	1679	1418
542	1682	1416
543	1686	1413
544	1689	1410
545	1692	1407
546	1696	1404
547	1699	1401
548	1702	1398
549	1706	1395
550	1709	1392
551	1712	1389
552	1715	1386
553	1718	1383
554	1722	1380
555	1725	1377
556	1728	1374
557	1731	1371
558	1734	1368
559	1737	1365
560	1740	1362
561	1744	1359
562	1747	1356
563	1750	1352
564	1753	1349
565	1756	1346
566	1759	1343
567	1762	1340
568	1765	1337
569	1768	1334
570	1772	1331
571	1775	1328
572	1778	1325
573	1782	1322
574	1785	1319
575	1788	1316
576	1791	1313
577	1795	1310
578	1798	1307
579	1801	1304
580	1803	1300
581	1807	1297
582	1810	1294
583	1813	1291
584	1816	1288
585	1819	1285
586	1822	1282
587	1825	1279
588	1828	1276
589	1831	1272
590	1834	1269
591	1838	1266
592	1841	1263
593	1844	1260
594	1847	1257
595	1850	1254
596	1853	1251
597	1856	1248
598	1860	1245
599	1862	1241
600	1866	1238
601	1869	1235
602	1872	1232
603	1875	1229
604	1878	1226
605	1881	1223
606	1885	1220
607	1888	1217
608	1891	1214
609	1894	1211
610	1897	1208
611	1901	1205
612	1904	1202
613	1907	1199
614	1910	1196
615	1913	1192
616	1917	1189
617	1920	1187
618	1923	1183
619	1926	1180
620	1929	1177
621	1933	1174
622	1936	1171
623	1939	1168
624	1942	1165
625	1945	1162
626	1949	1159
627	1953	1156
628	1956	1153
629	1959	1150
630	1962	1147
631	1965	1144
632	1969	1141
633	1972	1138
634	1976	1135
635	1979	1132
636	1982	1129
637	1985	1126
638	1989	1123
639	1992	1120
640	1995	1117
641	1998	1114
642	2001	1111
643	2004	1108
644	2007	1105
645	2011	1102
646	2014	1099
647	2017	1096
648	2020	1092
649	2023	1089
650	2027	1086
651	2030	1083
652	2033	1080
653	2036	1077
654	2039	1074
655	2042	1070
656	2045	1067
657	2048	1064
658	2051	1061
659	2054	1058
660	2058	1055
661	2061	1052
662	2064	1049
663	2067	1046
664	2070	1043
665	2073	1039
666	2076	1036
667	2079	1033
668	2082	1030
669	2085	1027
670	2088	1024
671	2091	1020
672	2094	1017
673	2097	1014
674	2100	1011
675	2103	1008
676	2106	1005
677	2109	1001
678	2112	998
679	2115	995
680	2118	992
681	2122	989
682	2125	986
683	2129	983
684	2132	980
685	2136	977
686	2139	974
687	2142	971
688	2145	968
689	2148	965
690	2152	962
691	2155	959
692	2158	956
693	2161	953
694	2165	950
695	2168	947
696	2171	943
697	2174	940
698	2177	937
699	2180	934
700	2183	931
701	2186	928
702	2189	924
703	2192	921
704	2195	918
705	2198	915
706	2201	912
707	2204	909
708	2207	906
709	2210	902
710	2213	899
711	2216	896
712	2219	893
713	2222	890
714	2225	887
715	2228	883
716	2231	880
717	2234	877
718	2237	874
719	2240	871
720	2243	868
721	2247	865
722	2250	862
723	2253	859
724	2256	855
725	2259	852
726	2262	849
727	2265	846
728	2268	843
729	2271	840
730	2274	837
731	2277	833
732	2280	830
733	2283	827
734	2286	824
735	2289	821
736	2292	818
737	2296	815
738	2299	812
739	2302	809
740	2306	806
741	2309	803
742	2312	800
743	2315	796
744	2318	793
745	2321	790
746	2325	787
747	2328	784
748	2331	781
749	2333	777
750	2336	774
751	2339	771
752	2343	768
753	2346	765
754	2349	762
755	2351	759
756	2354	755
757	2360	753
758	2363	750
759	2366	747
760	2370	744
761	2373	741
762	2377	738
763	2380	735
764	2383	732
765	2386	728
766	2389	725
767	2393	723
768	2396	719
769	2399	716
770	2402	713
771	2406	710
772	2409	707
773	2412	704
774	2415	701
775	2418	698
776	2423	695
777	2426	692
778	2429	689
779	2432	685
780	2435	682
781	2439	680
782	2442	676
783	2445	673
784	2448	670
785	2451	667
786	2457	665
787	2461	662
788	2464	659
789	2468	656
790	2472	653
791	2475	650
792	2479	647
793	2482	644
794	2487	641
795	2490	638
796	2494	635
797	2496	632
798	2501	629
799	2504	626
800	2507	622
801	2510	619
802	2513	616
803	2517	613
804	2520	610
805	2523	607
806	2526	604
807	2530	601
808	2535	598
809	2538	595
810	2541	592
811	2544	589
812	2550	586
813	2554	583
814	2557	580
815	2560	577
816	2566	574
817	2570	571
818	2573	568
819	2576	565
820	2582	563
821	2585	559
822	2588	556
823	2592	553
824	2598	551
825	2601	548
826	2605	544
827	2608	541
828	2613	539
829	2617	536
830	2620	532
831	2623	529
832	2629	527
833	2633	524
834	2636	520
835	2639	517
836	2645	515
837	2648	512
838	2652	508
839	2656	505
840	2662	503
841	2666	500
842	2669	497
843	2675	494
844	2678	491
845	2682	488
846	2685	485
847	2689	482
848	2693	478
849	2696	475
850	2699	472
851	2702	469
852	2708	466
853	2711	463
854	2715	460
855	2718	457
856	2723	454
857	2727	451
858	2730	448
859	2733	444
860	2737	441
861	2741	438
862	2744	435
863	2747	432
864	2750	429
865	2756	426
866	2760	423
867	2763	420
868	2767	417
869	2772	414
870	2775	411
871	2778	407
872	2782	404
873	2785	401
874	2788	398
875	2791	395
876	2795	392
877	2799	388
878	2802	385
879	2806	382
880	2809	379
881	2812	376
882	2818	373
883	2821	370
884	2824	367
885	2827	363
886	2833	360
887	2837	357
888	2840	354
889	2843	351
890	2847	348
891	2850	345
892	2853	341
893	2857	338
894	2861	335
895	2864	332
896	2868	329
897	2871	326
898	2874	322
899	2878	319
900	2881	316
901	2884	313
902	2887	310
903	2890	306
904	2895	303
905	2898	300
906	2901	297
907	2904	294
908	2907	291
909	2910	287
910	2913	284
911	2915	281
912	2918	278
913	2922	274
914	2925	271
915	2928	268
916	2931	265
917	2934	262
918	2937	258
919	2940	255
920	2943	252
921	2946	249
922	2949	246
923	2952	242
924	2955	239
925	2958	236
926	2961	233
927	2964	230
928	2968	226
929	2971	223
930	2974	220
931	2977	217
932	2980	214
933	2983	210
934	2986	207
935	2989	204
936	2992	201
937	2995	198
938	2998	194
939	3001	191
940	3004	188
941	3007	185
942	3010	182
943	3014	178
944	3017	175
945	3021	172
946	3024	169
947	3027	166
948	3030	162
949	3033	159
950	3036	156
951	3039	153
952	3042	150
953	3045	146
954	3048	143
955	3050	140
956	3053	137
957	3056	134
958	3059	130
959	3062	127
960	3065	124
961	3068	121
962	3071	118
963	3074	114
964	3077	111
965	3079	108
966	3082	105
967	3086	102
968	3089	98
969	3092	95
970	3095	92
971	3097	89
972	3101	86
973	3104	82
974	3107	79
975	3110	76
976	3113	73
977	3116	70
978	3119	66
979	3122	63
980	3125	60
981	3128	57
982	3131	54
983	3134	50
984	3137	47
985	3140	44
986	3143	41
987	3146	38
988	3149	35
989	3152	31
990	3155	28
991	3158	25
992	3161	22
993	3164	19
994	3167	15
995	3170	12
996	3173	9
997	3176	6
998	3180	3
999	3183	0
